Time,EMG,Envelope,ECG,Beat_ecg,PPG,Beat_ppg
210818185948736,1.5243,1.5437,1.6017,0.0032,2.0948,0.0548
210818185948758,1.5372,1.5501,1.592,0.0032,0.058,0.0548
210818185948780,1.5243,1.5469,1.5662,0.0032,0.058,0.0548
210818185948801,1.5243,1.5501,1.5985,0.0032,0.0548,0.0548
210818185948822,1.5469,1.5437,1.5662,0.0032,0.058,0.058
210818185948844,1.5405,1.5372,1.5598,0.0032,0.058,0.0548
210818185948865,1.5147,1.5372,1.5501,0.0032,0.0548,0.0548
210818185948886,1.5114,1.5437,1.5501,0.0032,0.058,0.058
210818185948908,1.5437,1.5598,1.5276,0.0032,0.058,0.0548
210818185948928,1.5308,1.5469,1.5018,0.0032,0.058,0.0548
210818185948949,1.5759,1.5727,1.5179,0.0032,0.0548,0.0548
210818185948972,1.5372,1.5823,1.5211,0.0032,0.0548,0.058
210818185948993,1.5533,1.6049,1.5082,0.0032,0.0612,0.058
210818185949014,1.5372,1.5985,1.5308,0.0032,0.058,0.0548
210818185949037,1.5405,1.6017,1.5501,0.0032,0.0548,0.0548
210818185949058,1.5533,1.5888,1.5276,0.0032,0.0548,0.0548
210818185949079,1.5437,1.5759,1.5179,0.0032,0.0548,0.0548
210818185949100,1.6178,1.5598,1.4921,0.0032,0.0548,0.0516
210818185949121,1.5533,1.5437,1.4857,0.0032,0.0516,0.0548
210818185949142,1.4857,1.563,1.4663,0.0032,0.0516,0.0516
210818185949163,1.4921,1.6371,1.4889,0.0032,0.0548,0.0516
210818185949184,1.4663,1.6823,1.4792,0.0032,0.0516,0.0516
210818185949204,1.5114,1.6887,1.4792,0.0032,0.0516,0.0548
210818185949225,1.5952,1.6597,1.4824,0.0032,0.0548,0.0548
210818185949247,1.6081,1.6242,1.5243,0.0032,0.0516,0.0516
210818185949267,1.6017,1.5952,1.5533,0.0032,0.0516,0.0516
210818185949288,1.5566,1.5727,1.5372,0.0032,0.0548,0.0516
210818185949310,1.5276,1.5695,1.5662,0.0032,0.0548,0.0516
210818185949331,1.5437,1.5727,1.6017,0.0032,0.0548,0.0516
210818185949352,1.5276,1.5759,1.563,3.0745,0.0548,0.0516
210818185949376,1.534,1.5759,1.4889,3.0777,0.0516,0.0516
210818185949397,1.592,1.5727,1.5662,0.0032,0.0516,0.0516
210818185949417,1.4212,1.592,1.6081,3.0745,0.0516,0.0516
210818185949438,1.5437,1.6081,1.4889,3.0745,0.0483,0.0516
210818185949459,1.5566,1.5985,1.4921,3.0777,0.0516,0.0483
210818185949480,1.5243,1.5888,1.5308,0.0032,0.0483,0.0483
210818185949501,1.5437,1.5952,1.4889,0.0032,0.0516,0.0483
210818185949522,1.5211,1.5856,1.5405,0.0032,0.0483,0.0483
210818185949543,1.4824,1.5856,1.5018,0.0032,0.0516,0.0483
210818185949564,1.5566,1.5823,1.5469,0.0032,0.0516,0.0516
210818185949585,1.5276,1.5856,1.5372,0.0032,0.0548,0.0516
210818185949606,1.5952,1.5823,1.534,0.0032,0.0516,0.0516
210818185949627,1.505,1.5791,1.5405,0.0032,0.0516,0.0516
210818185949650,1.4889,1.5952,1.5856,0.0032,0.087,0.0548
210818185949671,1.5598,1.5823,1.5018,0.0032,0.4093,0.0516
210818185949691,1.5437,1.5823,1.505,0.0032,0.7316,0.0516
210818185949713,1.5372,1.5759,1.505,0.0032,2.0367,0.0483
210818185949734,1.5211,1.5759,1.4889,0.0032,3.1486,0.0451
210818185949755,1.5308,1.5695,1.418,0.0032,3.1454,0.0451
210818185949777,1.5405,1.5727,1.3664,0.0032,3.1486,0.0451
210818185949798,1.5469,1.5727,1.4051,0.0032,3.1421,3.1454
210818185949819,1.5533,1.5791,1.3052,0.0032,3.1421,3.1454
210818185949841,1.5308,1.5759,1.3503,0.0032,3.1518,3.1454
